molecule_idx,n_basis,regularization,nmape,r2,mae
48740,3432,1e-10,0.2748921275854301,0.999996988334882,0.000158301139877
18162,2882,1e-10,0.2807879413194069,0.9999972556254788,0.0002573557640261
98717,3641,1e-10,0.2782164877212494,0.9999972738696534,0.0001889270633716
91460,3322,1e-10,0.2751795940395692,0.9999980322479924,0.0001813647669718
28101,3025,1e-10,0.277050622617283,0.999997538838134,0.0002468870533474
68982,3289,1e-10,0.2856356445299493,0.9999967037400448,0.0002024739323461
61644,3113,1e-10,0.3027470177640285,0.999996416259705,0.0002196902166528
58178,3520,1e-10,0.2882843700682245,0.9999962445676102,0.0002272088744793
1808,2530,1e-10,0.2916366554545088,0.9999977641298072,0.0002641896680228
61822,3322,1e-10,0.2767607825706812,0.9999974110695932,0.0001949727109107
107967,3553,1e-10,0.3068275392808574,0.999997404708442,0.0001475623049762
53476,3355,1e-10,0.270429204228112,0.9999980446329534,0.0002155889442666
59096,3465,1e-10,0.255326060361441,0.9999976569907733,0.0001864192334666
88982,3674,1e-10,0.2444511917714785,0.9999982020761048,0.0001919398828095
69374,3025,1e-10,0.2629982445134048,0.9999975557031604,0.0002635788332527
94099,3674,1e-10,0.2795541788467914,0.9999976470736166,0.0001719537144698
41041,3058,1e-10,0.2798606201598412,0.9999973299464876,0.0002485574929977
34181,3355,1e-10,0.3116656554762105,0.9999973165826967,0.0002284774020949
48116,3234,1e-10,0.2968082054682363,0.9999974395301512,0.0002082884858004
95659,3322,1e-10,0.2478109956385634,0.9999982383949017,0.0001809747149043
76751,2937,1e-10,0.25185429159482,0.9999979657238576,0.0002148287609435
116309,2937,1e-10,0.2647398061498086,0.9999977503142942,0.000231480706796
1922,2761,1e-10,0.2599302592996418,0.9999978163764996,0.0001952698045141
33263,3289,1e-10,0.246696088996842,0.9999981055523156,0.0001938310375776
90810,3586,1e-10,0.2636680354470873,0.9999981807253284,0.0001807824497588
78125,3432,1e-10,0.2717038215057987,0.9999966228889704,0.0001956334326816
1954,2354,1e-10,0.256747969317032,0.9999983149884928,0.0002177792333781
59141,3377,1e-10,0.2520371836387219,0.999997893431562,0.0001953969961525
5317,2761,1e-10,0.2810421674098052,0.9999975258375166,0.0002054278259066
38681,3377,1e-10,0.2344214920147437,0.9999980078916412,0.0002004850149695
72679,3377,1e-10,0.2814287989926551,0.9999970974492562,0.0002099177462442
89941,3058,1e-10,0.2565780270164245,0.9999981986908276,0.0002366523463202
103309,3498,1e-10,0.2702676770234552,0.9999976834225224,0.0001983300855593
4486,2706,1e-10,0.2624458003273427,0.999998291911641,0.0001883152517117
98938,3377,1e-10,0.2886141252466287,0.999997116644802,0.0001865588152023
31566,2882,1e-10,0.2668325292731237,0.9999976679704676,0.0002077895194535
89883,3168,1e-10,0.2638347697595635,0.9999977137804514,0.0001557882722669
100436,3355,1e-10,0.2477059311394418,0.9999982934856962,0.0002071481531354
41550,2882,1e-10,0.264019734316917,0.9999979908801696,0.0001832419341371
62014,3344,1e-10,0.2789088056695103,0.9999965375611204,0.0001972588288102
35587,3146,1e-10,0.2745795588791616,0.99999716098025,0.0002500157949301
66855,3201,1e-10,0.2710494610901166,0.9999972492915616,0.0002175388423753
8228,2948,1e-10,0.2492678892170025,0.9999985707284638,0.0002245617694523
81435,3036,1e-10,0.2686118745269957,0.9999982557800344,0.0002141811039958
6759,3058,1e-10,0.2646038665338844,0.9999982083498749,0.0002103987533449
111727,3531,1e-10,0.2845181173345232,0.9999978667456896,0.0001895095447312
72955,3201,1e-10,0.2736590877589505,0.9999971554204689,0.0002358057964534
28130,3289,1e-10,0.2758413655886524,0.9999977970863422,0.0001757712726442
91009,3146,1e-10,0.2603298976629112,0.9999979755285564,0.000176904886139
68455,3113,1e-10,0.285335935035068,0.9999973815232862,0.0002188876822312
36729,3146,1e-10,0.2791663982318766,0.999997298669204,0.0002238862152726
61000,3025,1e-10,0.2405271514911169,0.9999981246850814,0.0001849903997164
73869,3465,1e-10,0.2595589703554712,0.9999974711145742,0.0002152763536285
